"id","device_id","fix","hdop","latitude","longitude","velocity","heart_rate","acc_x","acc_y","acc_z","quat_w","quat_x","quat_y","quat_z","device_date","db_date"
40628,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:41.799+00","2021-06-02 12:59:05.411536+00"
40627,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:40.799+00","2021-06-02 12:59:04.416712+00"
40626,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:39.799+00","2021-06-02 12:59:03.149069+00"
40625,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:38.799+00","2021-06-02 12:59:02.180924+00"
40624,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:37.799+00","2021-06-02 12:59:00.872586+00"
40623,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:36.799+00","2021-06-02 12:58:59.942896+00"
40622,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:35.799+00","2021-06-02 12:58:58.974252+00"
40621,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:32.799+00","2021-06-02 12:58:56.733863+00"
40620,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:31.799+00","2021-06-02 12:58:55.494938+00"
40619,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:30.799+00","2021-06-02 12:58:54.475832+00"
40618,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:29.799+00","2021-06-02 12:58:53.551995+00"
40617,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:28.799+00","2021-06-02 12:58:52.253637+00"
40616,2,0,"-1","-1","-1","0",0,"0","0","0","0","0","0","0","2021-06-02 00:14:27.799+00","2021-06-02 12:58:51.275176+00"
